game,winner,minimax_plan_x,minimax_plan_o,reason_x,reason_o,reflection_x,reflection_o,points_x,points_o,score_wins_x,score_wins_o,score_draws,points_gap
87,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"Minimax was disabled via the CLI option, so I avoided it and learned to rely more on heuristic judgment and pattern recognition to find strong practical moves.",I avoided minimax to challenge manual strategic thinking and learned that adaptive reasoning can still secure wins despite lower computational optimization.,620,100,62,10,15,-520
88,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via the CLI option, and learned that manual play sharpens pattern recognition and heuristic judgment when exhaustive search isn’t available.",I avoided minimax due to the CLI restriction and learned that adapting manual strategies under constraints requires balancing risk and caution effectively.,630,100,63,10,15,-530
89,Draw,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via a CLI option, and playing manually reinforced using heuristic pattern recognition and practical endgame tactics to salvage a draw.",I avoided minimax to explore manual strategies and learned that balanced play can still secure solid draws despite the opponent's strong record.,630,100,63,10,16,-530
90,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via the CLI option, and I learned that relying on manual heuristic moves can still produce consistent wins though it's less predictable and sometimes suboptimal compared with full search.",I avoided minimax due to the CLI option and learned that manual play provided valuable insight but was less effective against the stronger opponent.,640,100,64,10,16,-540
91,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via the CLI, which forced me to rely on manual heuristics and pattern recognition and taught me how to make pragmatic, reliable moves without exhaustive search.","I avoided minimax due to the CLI option restriction, which taught me to rely more on heuristic play rather than optimal calculation.",650,100,65,10,16,-550
92,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via the CLI option, and playing manually taught me that simple heuristics, pattern recognition, and anticipatory moves can still produce reliable wins.","I avoided minimax due to the CLI restriction, which taught me to rely more on heuristic judgment and adaptability in manual play.",660,100,66,10,16,-560
93,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,I avoided minimax because it was disabled via CLI and learned that manual strategic heuristics and careful pattern recognition can still yield consistent wins.,"I avoided minimax due to the CLI setting, learning that manual play offers unique challenges but limits optimal strategy execution.",670,100,67,10,16,-570
94,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"Minimax was disabled via the CLI so I avoided it, and I learned that manual, heuristic-driven play can still secure wins by exploiting simple positional patterns and opponent errors.",I avoided minimax due to the CLI option and learned that manual play can yield unexpected outcomes even against a stronger opponent.,680,100,68,10,16,-580
95,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via the CLI option, and playing manually taught me to rely on heuristics and pattern recognition to exploit opponent tendencies and make efficient decisions.",I avoided minimax to test manual play strategies and learned that intuitive moves can still challenge a stronger opponent despite the loss.,690,100,69,10,16,-590
96,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via a CLI option, and I learned to rely on simpler heuristics and manual pattern recognition to play effectively.","I avoided minimax to challenge my manual strategic thinking, learning that intuition can still guide effective play despite computational disadvantages.",700,100,70,10,16,-600
97,Draw,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,I avoided minimax because it was disabled via the CLI option and learned to rely on simpler heuristics and adaptability when constraints force manual play.,I avoided minimax to experiment with manual play and learned that strategic intuition can still secure solid draws against stronger opponents.,700,100,70,10,17,-600
98,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via the CLI option, and I learned to rely on heuristic judgment and pattern recognition to make effective manual moves.","I avoided minimax due to the CLI setting, learning that manual play fosters adaptability but often results in fewer wins against a stronger AI.",710,100,71,10,17,-610
99,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"Minimax was disabled via the CLI so I avoided it, and I learned that relying on heuristic intuition and tactical pattern recognition can still yield strong, pragmatic play.",I avoided minimax to challenge manual strategy development and learned that intuitive play can still yield competitive results despite lower overall scores.,720,100,72,10,17,-620
100,gpt-5 mini,False,False,Minimax disabled via CLI option.,Minimax disabled via CLI option.,"I avoided minimax because it was disabled via the CLI option, and I learned to compensate with heuristic, pattern-based play and adaptability to secure consistent wins.",I avoided minimax due to the CLI restriction and learned that manual play significantly limits strategic depth and score improvement.,730,100,73,10,17,-630
